No,Backlog,Task Description,Technical Domain,Assignee,Est (Hours/Day),Status
SP2-001,Website Content,Implementasi sistem pengambilan data Profile dan Content Library untuk kebutuhan website,Full Stack,Irawan,6 Hours,Done
SP2-002,Website Content,Implementasi form input konten website berdasarkan kebutuhan template,Frontend,Irawan,1 Day,Done
SP2-003,Website Content,Implementasi validasi dan penyimpanan data konten website,Full Stack,Irawan,6 Hours,Done
SP2-004,Website Content,Implementasi reusable Content Library untuk penggunaan data pada website,Backend,Irawan,6 Hours,Done
SP2-005,Website Editor,"Mendesain dan mengimplementasikan layout Editor dengan Content Panel, Preview, dan Template Context",Frontend,Irawan,1 Day,Done
SP2-006,Website Editor,Implementasi form editor menggunakan Accordion berdasarkan section template,Frontend,Irawan,1 Day,Done
SP2-007,Website Editor,Implementasi sinkronisasi perubahan form dengan Live Preview,Full Stack,Irawan,1 Day,Done
SP2-008,Website Editor,Implementasi interaksi section pada Live Preview dengan form editor,Frontend,Irawan,6 Hours,Done
SP2-009,Website Editor,Implementasi progress kelengkapan konten website,Frontend,Irawan,5 Hours,Done
SP2-010,Draft & Preview,Implementasi penyimpanan perubahan website sebagai Draft,Backend,Irawan,6 Hours,Done
SP2-011,Draft & Preview,Implementasi Preview website berdasarkan data Draft,Full Stack,Irawan,6 Hours,Done
SP2-012,Draft & Preview,"Implementasi responsive Preview untuk Desktop, Tablet, dan Mobile",Frontend,Irawan,1 Day,Done
SP2-013,Draft & Preview,Implementasi pemisahan Draft dan Published Version,Backend,Irawan,6 Hours,Done
SP2-014,Website Publishing,Implementasi proses Publish website,Backend,Irawan,6 Hours,Done
SP2-015,Website Publishing,"Implementasi status Draft, Published, dan Unpublished pada website",Full Stack,Irawan,5 Hours,Done
SP2-016,Website Publishing,Implementasi URL publik dan routing berdasarkan subdomain,Full Stack,Irawan,1 Day,Done
SP2-017,Website Publishing,Implementasi validasi dan pembatasan satu website aktif per akun,Backend,Irawan,5 Hours,Done
SP2-018,Website Management,Implementasi Dashboard Website Management,Frontend,Irawan,1 Day,Done
SP2-019,Website Management,"Implementasi aksi Edit, Preview, Publish, Unpublish, dan Delete website",Full Stack,Irawan,1 Day,Done
SP2-020,Template Switching,Implementasi pemilihan template dari website yang sudah memiliki konten,Frontend,Irawan,6 Hours,To Do
SP2-021,Template Switching,Implementasi mapping data existing ke schema template baru,Full Stack,Irawan,1 Day,To Do
SP2-022,Template Switching,Implementasi Preview template baru tanpa mengubah Published Website,Full Stack,Irawan,6 Hours,To Do
SP2-023,Subscription & Billing,Mendesain halaman Subscription & Billing,Frontend,Irawan,1 Day,Done
SP2-024,Subscription & Billing,Implementasi integrasi pembayaran Premium,Full Stack,Irawan,1 Day,Done
SP2-025,Subscription & Billing,Implementasi status dan sinkronisasi Subscription setelah pembayaran,Backend,Irawan,6 Hours,Done
SP2-026,Settings,Mendesain halaman Account & Workspace Settings,Frontend,Irawan,1 Day,Done
SP2-027,Settings,Implementasi perubahan informasi Account dan Workspace,Full Stack,Irawan,6 Hours,Done
SP2-028,Settings,Implementasi perubahan password dan preferensi dasar akun,Full Stack,Irawan,5 Hours,Done
SP2-029,Analytics Dashboard,Implementasi pencatatan visitor dan pageviews website,Backend,Irawan,1 Day,Done
SP2-030,Analytics Dashboard,Implementasi Dashboard Analytics dasar untuk pengguna Premium,Frontend,Irawan,1 Day,Done
SP2-031,Analytics Dashboard,Implementasi metrik engagement dan performa section,Full Stack,Irawan,1 Day,Done
SP2-032,Subscription & Billing,Implementasi tiered billing Basic Premium Enterprise dan annual billing,Full Stack,Irawan,TBD,In Progress
